AnkleLeftSagittal,AnkleLeftFrontal,AnkleRightSagittal,AnkleRightFrontal,HipLeftSagittal,HipLeftFrontal,HipLeftTransverse,HipRightSagittal,HipRIghtFrontal,HipRightTransverse,KneeLeftSagittal,KneeLeftFrontal,KneeLeftTransverse,KneeRightSagittal,KneeRightFrontal,KneeRightTransverse
-4.08210715399529,-6.68557938280274,-7.89179801152845,-11.2547227513715,2.66086470139031,13.460889241193,7.99821716737306,-0.530078858353382,0.273681484568011,1.9408267193207,-4.04845297088915,-6.38504851259613,-1.85075863019859,-9.71177394001551,6.97856650685154,-0.399468526427624
-4.0867443924649,-6.70100227956825,-7.89640017606086,-11.2662065904788,2.63061118578376,13.4167771569732,8.00929761497547,-0.576246944134475,0.27379335426109,1.96120297269974,-4.05759632147074,-6.35785726977091,-1.85448352243036,-9.73786255481276,6.96600504914956,-0.410362363475551
-4.09171219092867,-6.71632283356155,-7.90112194099582,-11.2806367541448,2.60431256101784,13.3756258301798,8.01804642313007,-0.616662960513398,0.280259459112981,1.97961822051879,-4.06465877683305,-6.33440576239944,-1.85913293179898,-9.75868754431434,6.94749639345869,-0.420174699558233
-4.09731779216408,-6.73171223685152,-7.9058083488892,-11.2987869824141,2.58402219294559,13.3415650399833,8.02348324695147,-0.647426466826667,0.296994201772484,1.99476556263418,-4.06810253069481,-6.31913181255978,-1.86526245438629,-9.76990302195733,6.91802944911939,-0.428282307678974
-4.10371077541435,-6.74753804663695,-7.90999748577093,-11.3189367791195,2.56915397533383,13.3193177487747,8.02635349128823,-0.667438694474204,0.324255041482446,2.00596038613419,-4.06742004303164,-6.31622950808044,-1.87283428435262,-9.76908703009924,6.87519458804083,-0.434350205781884
-4.11083125375115,-6.76418645456354,-7.91330280920814,-11.3381503417562,2.55735407065473,13.3132543434618,8.02897431837081,-0.677993548526791,0.358418887580303,2.01275035122983,-4.06306298092422,-6.32886031135498,-1.88148067829306,-9.75649802804047,6.82108108946937,-0.43773874788261
-4.1184073147769,-6.7816353563107,-7.91576097837596,-11.3537779942377,2.54635814415522,13.3256483611431,8.03420303077293,-0.681632739088091,0.392945016167171,2.0150235431332,-4.05605397229805,-6.35799862694109,-1.89082151257933,-9.73528747744488,6.76262167386766,-0.437664982311025
-4.1260601811926,-6.79910010267615,-7.91788570461818,-11.3641256843666,2.53518351761414,13.3549118636624,8.04416265863748,-0.681409696772676,0.420362608327156,2.01373716783709,-4.0476624688564,-6.40104904988043,-1.90055616774346,-9.71096649712919,6.70961694493366,-0.434248453309252
-4.13346833431119,-6.81518044974949,-7.92047785521502,-11.3684257352992,2.5240192771309,13.3953818095054,8.05933899712947,-0.680585248878333,0.434851179504114,2.01109877585474,-4.03930268033521,-6.45142804340229,-1.91025066015267,-9.69000141221992,6.67132414642948,-0.429017118594814
-4.14049709848682,-6.8283364857995,-7.92431750018539,-11.3664978101931,2.51343092198423,13.4393544171518,8.07835571976328,-0.682043619956918,0.434374717916817,2.00955040651014,-4.03258380035655,-6.50030895325156,-1.91895757997475,-9.6778210027703,6.65319359412414,-0.42404619266938
-4.14724696476492,-6.83722200048832,-7.92993451040984,-11.3583795631247,2.5037479415373,13.4797669032091,8.09850445669645,-0.687317711299231,0.421291296669077,2.01054915300752,-4.02925711713146,-6.53958317270017,-1.92506992264312,-9.67706099768704,6.65510607888728,-0.420643311264033
-4.15400337756518,-6.84089697363566,-7.93766557355982,-11.3444397886977,2.49509498889068,13.5113877213536,8.11674481938701,-0.695850853556317,0.401006229749959,2.01417756900325,-4.03086537137196,-6.5637626605569,-1.92681233670749,-9.68699327389142,6.67215520047788,-0.418778879308821
-4.16116839648125,-6.83917655413156,-7.94796004108815,-11.3261541191968,2.48786365443299,13.5309438385972,8.13074227278585,-0.705100931739669,0.37924205497307,2.01941279858347,-4.03824454276197,-6.57051613043788,-1.92315270939918,-9.70444515763454,6.69788943072698,-0.417347042956019
-4.1692853659074,-6.8329471009084,-7.96162946941206,-11.3068033320789,2.48292343192425,13.5377195423988,8.13957488563591,-0.711488104725898,0.359450656575189,2.02460959468827,-4.05133790780567,-6.56096202840776,-1.9142872242962,-9.72548272972578,6.72797697216714,-0.414706351653694
-4.17909447415862,-6.82409182231383,-7.97979538977169,-11.2912885448037,2.48116351522662,13.5339717446087,8.14384757850365,-0.711647071446871,0.34192113170895,2.02804958705733,-4.06961800692493,-6.53938165336333,-1.90140058561765,-9.746750181265,6.76181839630552,-0.40921584230817
-4.19144437050621,-6.81499609318699,-8.00361133408344,-11.2852432975429,2.48277991705547,13.523954066256,8.14521947404149,-0.703316450257157,0.325000130436576,2.02837482245713,-4.09276120452194,-6.51167864774353,-1.88624907356569,-9.76588913210719,6.80153761935161,-0.399667623111474
-4.20703024896789,-6.80785768157322,-8.03393136941243,-11.2940570287324,2.487103264459,13.5122571803732,8.14556814249679,-0.6853620590596,0.307357925566794,2.02479835085216,-4.12091628131505,-6.48347279972875,-1.87081307830783,-9.78115772136443,6.84974625460137,-0.385462197393734
-4.22611489732442,-6.80400866666909,-8.07082775256473,-11.3217687479636,2.49320982020443,13.5026924067458,8.14611981046647,-0.657113743942999,0.289709889838683,2.01724972503725,-4.15434685405084,-6.45895616834765,-1.85679061702032,-9.79075415774849,6.90754994856888,-0.366625674658073
